product_id,metric_date,total_users,active_users,transaction_count,transaction_value,revenue,failed_transactions,complaints,downtime_minutes,fraud_incidents,user_growth_rate,transaction_growth_rate,revenue_growth_rate,failure_rate,complaints_per_1000_users,uptime_percentage,active_user_ratio,retention_rate,revenue_per_user,transaction_value_per_user,transaction_volume_7d_avg,revenue_7d_avg,fraud_rate,operational_risk_score
AGENT_BANKING,2023-05-27,60546,21410,137716,585225392.77,13898242.99,6019,349,114.5,1054,0.0,,,4.37058874785791,5.764212334423414,92.04861111111111,35.36154328939979,100.0,229.54849189046345,27334.207976179354,137716.0,13898242.99,765.3431700020332,265.70118649975313
AGENT_BANKING,2023-05-28,61082,23526,174867,414611109.19,6615155.54,11330,340,55.5,665,0.8852773098140254,26.97653141247205,-52.40293650960264,6.479209913820218,5.5662879408008905,96.14583333333333,38.51543826331817,91.00569582589475,108.2995897318359,17623.52755207005,156291.5,10256699.265,380.28901965493776,133.3283898620094
AGENT_BANKING,2023-05-29,60811,21521,131231,421688485.28,5550446.33,9721,469,70.7,253,-0.4436658917520764,-24.95382204761333,-16.094998878892575,7.407548521309751,7.712420450247488,95.09027777777777,35.38997878673266,109.31648157613493,91.27372235286379,19594.27932159286,147938.0,8687948.286666667,192.7898133825087,82.0099634232765
AGENT_BANKING,2023-05-30,61234,27874,251105,736567571.49,13419495.09,12323,273,94.4,1369,0.6955978359178383,91.34579481982155,141.7732609622405,4.907508811055136,4.458307476238691,93.44444444444444,45.52046248816018,77.20815096505704,219.15104500767546,26424.89673136256,173729.75,9870834.9875,545.190259054977,193.84008124091514
AGENT_BANKING,2023-05-31,61129,21759,254685,1055589918.43,11849577.93,7843,206,54.7,372,-0.17147336447072004,1.4256984130144756,-11.698779644622237,3.07949035082553,3.3699226226504604,96.20138888888889,35.59521667293756,128.10331357139574,193.84544046197385,48512.79555264488,189920.8,10266583.576,146.06278343836505,61.46063117183972
AGENT_BANKING,2023-06-01,60883,20320,186465,493502931.41,11244510.68,9259,352,64.7,1258,-0.40242765299611793,-26.78602980151953,-5.106234615058569,4.965543131418765,5.781581065322011,95.50694444444444,33.37549069526797,107.08169291338582,184.690483057668,24286.561585137795,189344.83333333334,10429571.426666668,674.6574424154667,223.7934499772075
AGENT_BANKING,2023-06-02,60691,26115,127568,420278290.38,10183442.5,6673,280,56.0,769,-0.31535896719938616,-31.586088542085644,-9.43632151007926,5.230935657845228,4.613534131914123,96.11111111111111,43.029444233906176,77.8096879188206,167.79164126476743,16093.367427914991,180519.57142857142,10394410.151428571,602.8157531669384,199.7371002132196
AGENT_BANKING,2023-06-03,60433,27597,232419,328106501.7,4783525.53,18059,668,95.1,728,-0.42510421644066376,82.19224256866926,-53.02643943833335,7.7700188022493855,11.05356345043271,93.39583333333333,45.665447685866994,94.62985107076857,79.15419605182599,11889.209033590607,194048.57142857142,9092307.657142857,313.2274039557867,125.60622870763576
AGENT_BANKING,2023-06-04,60498,25551,76584,293457851.41,6213810.83,3927,473,33.6,185,0.10755712938295137,-67.04916551572806,29.900233437240576,5.127702914446882,7.818440279017487,97.66666666666667,42.234454031538235,108.00751438299872,102.71101243016298,11485.1806743376,180008.14285714287,9034972.698571429,241.5648177164943,84.60052648072704
AGENT_BANKING,2023-06-05,61041,22433,239438,574217975.42,12778323.12,9606,202,39.4,490,0.8975503322423917,212.64755040217275,105.64390306680771,4.011894519666886,3.3092511590570273,97.26388888888889,36.75070854016153,113.89916640663309,209.34000294883765,25597.021148308293,195466.2857142857,10067526.525714288,204.64587910022638,74.81852153793466
